date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:17	99360/99360	---M--	200	added ('OK')	image/jpeg	etag:%225ed6c061-18420%22	https://echo.co/sites/default/files/styles/677wide/public/2020-06/31136492043_372243890f_c_0.jpg?itok=2cwYcFeN	C:/My%20Web%20Sites/echo.co/echo.co/sites/default/files/styles/677wide/public/2020-06/31136492043_372243890f_c_02a95.jpg	(from https://echo.co/)
18:15:18	19918/19918	---M--	200	added ('OK')	image/jpeg	etag:%225dfb3ac8-4dce%22	https://echo.co/sites/default/files/styles/470x376/public/2017-07/team_graziella_jackson_1.jpg?itok=UMxcVaeU	C:/My%20Web%20Sites/echo.co/echo.co/sites/default/files/styles/470x376/public/2017-07/team_graziella_jackson_127c6.jpg	(from https://echo.co/)
18:15:18	76357/76357	---M-Z	200	added ('OK')	text/html	etag:W/%221695827516%22	https://echo.co/bio/graziella-jackson	C:/My%20Web%20Sites/echo.co/echo.co/bio/graziella-jackson.html	(from https://echo.co/)
18:15:18	82781/82781	---M-Z	200	added ('OK')	text/html	etag:W/%221695825938%22	https://echo.co/advice/how-use-improv-jumpstart-creativity-among-your-team-1	C:/My%20Web%20Sites/echo.co/echo.co/advice/how-use-improv-jumpstart-creativity-among-your-team-1.html	(from https://echo.co/)
18:15:18	74356/74356	---M-Z	200	added ('OK')	text/html	etag:W/%221695843378%22	https://echo.co/advice/how-can-tech-organizations-tackle-unconscious-bias	C:/My%20Web%20Sites/echo.co/echo.co/advice/how-can-tech-organizations-tackle-unconscious-bias.html	(from https://echo.co/)
18:15:18	90524/90524	---M-Z	200	added ('OK')	text/html	etag:W/%221695855394%22	https://echo.co/case-study/newseumED	C:/My%20Web%20Sites/echo.co/echo.co/case-study/newseumED.html	(from https://echo.co/)
18:15:19	106899/106899	---M--	200	added ('OK')	image/jpeg	etag:%225dfb3ac8-1a193%22	https://echo.co/sites/default/files/styles/850x640/public/2017-03/case-newseumed-cardImage.jpg?itok=Xym0HqP8	C:/My%20Web%20Sites/echo.co/echo.co/sites/default/files/styles/850x640/public/2017-03/case-newseumed-cardImagee24c.jpg	(from https://echo.co/)
18:15:19	28627/28627	---M--	200	added ('OK')	image/jpeg	etag:%225dfb3ac8-6fd3%22	https://echo.co/sites/default/files/styles/470x376/public/2017-07/team_peter_sax_2.jpg?itok=woMCRvEc	C:/My%20Web%20Sites/echo.co/echo.co/sites/default/files/styles/470x376/public/2017-07/team_peter_sax_22ec6.jpg	(from https://echo.co/)
18:15:19	74192/74192	---M-Z	200	added ('OK')	text/html	etag:W/%221695835967%22	https://echo.co/bio/peter-sax	C:/My%20Web%20Sites/echo.co/echo.co/bio/peter-sax.html	(from https://echo.co/)
18:15:19	187861/187861	---M--	200	added ('OK')	image/png	etag:%225dfb3ac8-2ddd5%22	https://echo.co/sites/default/files/styles/470x376/public/2019-04/Echo%26Confetti.png?itok=qzBG6Bem	C:/My%20Web%20Sites/echo.co/echo.co/sites/default/files/styles/470x376/public/2019-04/Echo&Confetti5fc9.png	(from https://echo.co/)
